max-step-size,evaporation-rate,population,max-turn-angle,diffusion-rate,ticks
4.0,10.0,100.0,60.0,10.0,207
4.0,10.0,100.0,60.0,10.0,184
4.0,10.0,100.0,60.0,10.0,180
4.0,10.0,100.0,60.0,10.0,184
4.0,10.0,100.0,60.0,10.0,186
4.0,10.0,100.0,60.0,10.0,188
4.0,10.0,100.0,60.0,10.0,191
4.0,10.0,100.0,60.0,10.0,175
4.0,10.0,100.0,60.0,10.0,203
4.0,10.0,100.0,60.0,10.0,200
4.0,10.0,100.0,60.0,10.0,187
4.0,10.0,100.0,60.0,10.0,224
4.0,10.0,100.0,60.0,10.0,183
4.0,10.0,100.0,60.0,10.0,210
4.0,10.0,100.0,60.0,10.0,201
4.0,10.0,100.0,60.0,100.0,157
4.0,10.0,100.0,60.0,100.0,178
4.0,10.0,100.0,60.0,100.0,183
4.0,10.0,100.0,60.0,100.0,183
4.0,10.0,100.0,60.0,100.0,166
4.0,10.0,100.0,60.0,100.0,189
4.0,10.0,100.0,60.0,100.0,203
4.0,10.0,100.0,60.0,100.0,176
4.0,10.0,100.0,60.0,100.0,184
4.0,10.0,100.0,60.0,100.0,186
4.0,10.0,100.0,120.0,10.0,227
4.0,10.0,100.0,120.0,10.0,207
4.0,10.0,100.0,120.0,10.0,197
4.0,10.0,100.0,120.0,10.0,240
4.0,10.0,100.0,120.0,10.0,244
4.0,10.0,100.0,120.0,10.0,254
4.0,10.0,100.0,120.0,10.0,234
4.0,10.0,100.0,120.0,10.0,222
4.0,10.0,100.0,120.0,10.0,217
4.0,10.0,100.0,120.0,10.0,243
4.0,10.0,100.0,120.0,10.0,224
4.0,10.0,100.0,120.0,10.0,260
4.0,10.0,100.0,120.0,10.0,215
4.0,10.0,100.0,120.0,10.0,218
4.0,10.0,100.0,120.0,10.0,197
4.0,10.0,100.0,120.0,10.0,226
4.0,10.0,100.0,120.0,10.0,297
4.0,10.0,100.0,120.0,10.0,213
4.0,10.0,100.0,120.0,10.0,211
4.0,10.0,100.0,120.0,10.0,302
4.0,10.0,100.0,120.0,100.0,256
4.0,10.0,100.0,120.0,100.0,237
4.0,10.0,100.0,120.0,100.0,218
4.0,10.0,100.0,120.0,100.0,225
4.0,10.0,100.0,120.0,100.0,213
4.0,10.0,100.0,120.0,100.0,217
4.0,10.0,100.0,120.0,100.0,198
4.0,10.0,100.0,120.0,100.0,263
4.0,10.0,100.0,120.0,100.0,229
4.0,10.0,100.0,120.0,100.0,208
4.0,10.0,50.0,60.0,10.0,282
4.0,10.0,50.0,60.0,10.0,347
4.0,10.0,50.0,60.0,10.0,466
4.0,10.0,50.0,60.0,10.0,286
4.0,10.0,50.0,60.0,10.0,307
4.0,10.0,50.0,60.0,10.0,374
4.0,10.0,50.0,60.0,10.0,519
4.0,10.0,50.0,60.0,10.0,270
4.0,10.0,50.0,60.0,10.0,438
4.0,10.0,50.0,60.0,10.0,285
4.0,10.0,50.0,60.0,10.0,267
4.0,10.0,50.0,60.0,10.0,407
4.0,10.0,50.0,60.0,10.0,387
4.0,10.0,50.0,60.0,10.0,278
4.0,10.0,50.0,60.0,10.0,293
4.0,10.0,50.0,60.0,10.0,325
4.0,10.0,50.0,60.0,10.0,336
4.0,10.0,50.0,60.0,10.0,328
4.0,10.0,50.0,60.0,10.0,329
4.0,10.0,50.0,60.0,10.0,410
4.0,10.0,50.0,60.0,100.0,522
4.0,10.0,50.0,60.0,100.0,265
4.0,10.0,50.0,60.0,100.0,274
4.0,10.0,50.0,60.0,100.0,273
4.0,10.0,50.0,60.0,100.0,256
4.0,10.0,50.0,60.0,100.0,270
4.0,10.0,50.0,60.0,100.0,293
4.0,10.0,50.0,60.0,100.0,310
4.0,10.0,50.0,60.0,100.0,308
4.0,10.0,50.0,60.0,100.0,252
4.0,10.0,50.0,60.0,10.0,460
4.0,10.0,50.0,60.0,10.0,340
4.0,10.0,50.0,60.0,10.0,557
4.0,10.0,50.0,60.0,10.0,378
4.0,10.0,50.0,60.0,10.0,349
4.0,10.0,50.0,60.0,10.0,330
4.0,10.0,50.0,60.0,10.0,265
4.0,10.0,50.0,60.0,10.0,325
4.0,10.0,50.0,60.0,10.0,262
4.0,10.0,50.0,60.0,10.0,293
4.0,10.0,50.0,60.0,10.0,369
4.0,10.0,50.0,60.0,10.0,286
4.0,10.0,50.0,60.0,10.0,369
4.0,10.0,50.0,60.0,10.0,284
4.0,10.0,50.0,60.0,10.0,388
4.0,10.0,50.0,60.0,10.0,300
4.0,10.0,50.0,60.0,10.0,288
4.0,10.0,50.0,60.0,10.0,508
4.0,10.0,50.0,60.0,10.0,362
4.0,10.0,50.0,60.0,10.0,507
4.0,10.0,50.0,60.0,100.0,248
4.0,10.0,50.0,60.0,100.0,357
4.0,10.0,50.0,60.0,100.0,357
4.0,10.0,50.0,60.0,100.0,285
4.0,10.0,50.0,60.0,100.0,248
4.0,10.0,50.0,60.0,100.0,234
4.0,10.0,50.0,60.0,100.0,271
4.0,10.0,50.0,60.0,100.0,342
4.0,10.0,50.0,60.0,100.0,235
4.0,10.0,50.0,60.0,100.0,276
4.0,10.0,50.0,120.0,10.0,422
4.0,10.0,50.0,120.0,10.0,505
4.0,10.0,50.0,120.0,10.0,373
4.0,10.0,50.0,120.0,10.0,339
4.0,10.0,50.0,120.0,10.0,461
4.0,10.0,50.0,120.0,10.0,466
4.0,10.0,50.0,120.0,10.0,612
4.0,10.0,50.0,120.0,10.0,373
4.0,10.0,50.0,120.0,10.0,410
4.0,10.0,50.0,120.0,10.0,394
4.0,10.0,50.0,120.0,10.0,462
4.0,10.0,50.0,120.0,10.0,465
4.0,10.0,50.0,120.0,10.0,407
4.0,10.0,50.0,120.0,10.0,390
4.0,10.0,50.0,120.0,10.0,464
4.0,10.0,50.0,120.0,10.0,533
4.0,10.0,50.0,120.0,10.0,724
4.0,10.0,50.0,120.0,10.0,323
4.0,10.0,50.0,120.0,10.0,379
4.0,10.0,50.0,120.0,10.0,382
4.0,10.0,50.0,120.0,100.0,335
4.0,10.0,50.0,120.0,100.0,330
4.0,10.0,50.0,120.0,100.0,338
4.0,10.0,50.0,120.0,100.0,301
4.0,10.0,50.0,120.0,100.0,359
4.0,10.0,50.0,120.0,100.0,305
4.0,10.0,50.0,120.0,100.0,392
4.0,10.0,50.0,120.0,100.0,466
4.0,10.0,50.0,120.0,100.0,329
4.0,10.0,50.0,120.0,100.0,301
4.0,10.0,100.0,60.0,10.0,203
4.0,10.0,100.0,60.0,10.0,183
4.0,10.0,100.0,60.0,10.0,191
4.0,10.0,100.0,60.0,10.0,188
4.0,10.0,100.0,60.0,10.0,185
4.0,10.0,100.0,60.0,10.0,183
4.0,10.0,100.0,60.0,10.0,254
4.0,10.0,100.0,60.0,10.0,178
4.0,10.0,100.0,60.0,10.0,207
4.0,10.0,100.0,60.0,10.0,179
4.0,10.0,100.0,60.0,10.0,195
4.0,10.0,100.0,60.0,10.0,250
4.0,10.0,100.0,60.0,10.0,210
4.0,10.0,100.0,60.0,10.0,202
4.0,10.0,100.0,60.0,10.0,170
4.0,10.0,100.0,60.0,10.0,161
4.0,10.0,100.0,60.0,10.0,277
4.0,10.0,100.0,60.0,10.0,210
4.0,10.0,100.0,60.0,10.0,185
4.0,10.0,100.0,60.0,10.0,211
4.0,10.0,100.0,60.0,100.0,186
4.0,10.0,100.0,60.0,100.0,168
4.0,10.0,100.0,60.0,100.0,190
4.0,10.0,100.0,60.0,100.0,181
4.0,10.0,100.0,60.0,100.0,192
4.0,10.0,100.0,60.0,100.0,200
4.0,10.0,100.0,60.0,100.0,179
4.0,10.0,100.0,60.0,100.0,173
4.0,10.0,100.0,60.0,100.0,191
4.0,10.0,100.0,60.0,100.0,196
4.0,10.0,100.0,60.0,10.0,198
4.0,10.0,100.0,60.0,10.0,238
4.0,10.0,100.0,60.0,10.0,206
4.0,10.0,100.0,60.0,10.0,221
4.0,10.0,100.0,60.0,10.0,191
4.0,10.0,100.0,60.0,10.0,194
4.0,10.0,100.0,60.0,10.0,268
4.0,10.0,100.0,60.0,10.0,221
4.0,10.0,100.0,60.0,10.0,192
4.0,10.0,100.0,60.0,10.0,193
4.0,10.0,100.0,60.0,10.0,234
4.0,10.0,100.0,60.0,10.0,189
4.0,10.0,100.0,60.0,10.0,210
4.0,10.0,100.0,60.0,10.0,164
4.0,10.0,100.0,60.0,10.0,210
4.0,10.0,100.0,60.0,10.0,199
4.0,10.0,100.0,60.0,10.0,200
4.0,10.0,100.0,60.0,10.0,187
4.0,10.0,100.0,60.0,10.0,194
4.0,10.0,100.0,60.0,10.0,248
4.0,10.0,100.0,60.0,100.0,174
4.0,10.0,100.0,60.0,100.0,198
4.0,10.0,100.0,60.0,100.0,166
4.0,10.0,100.0,60.0,100.0,181
4.0,10.0,100.0,60.0,100.0,186
4.0,10.0,100.0,60.0,100.0,201
4.0,10.0,100.0,60.0,100.0,193
4.0,10.0,100.0,60.0,100.0,169
4.0,10.0,100.0,60.0,100.0,208
4.0,10.0,100.0,60.0,100.0,174
4.0,10.0,100.0,120.0,10.0,265
4.0,10.0,100.0,120.0,10.0,251
4.0,10.0,100.0,120.0,10.0,263
4.0,10.0,100.0,120.0,10.0,299
4.0,10.0,100.0,120.0,10.0,262
4.0,10.0,100.0,120.0,10.0,248
4.0,10.0,100.0,120.0,10.0,257
4.0,10.0,100.0,120.0,10.0,207
4.0,10.0,100.0,120.0,10.0,278
4.0,10.0,100.0,120.0,10.0,246
4.0,10.0,100.0,120.0,10.0,222
4.0,10.0,100.0,120.0,10.0,238
4.0,10.0,100.0,120.0,10.0,232
4.0,10.0,100.0,120.0,10.0,215
4.0,10.0,100.0,120.0,10.0,335
4.0,10.0,100.0,120.0,10.0,224
4.0,10.0,100.0,120.0,10.0,206
4.0,10.0,100.0,120.0,10.0,196
